array_ID,date,species,count_in_trap,trap_type,site_name
Array 7,9/2/2024,Eleutherodactylus planirostris,2,funnel,Three Lakes
Array 7,9/2/2024,Acris gryllus,2,funnel,Three Lakes
Array 8,9/2/2024,Eleutherodactylus planirostris,3,funnel,Three Lakes
Array 8,9/2/2024,Storeria victa,1,funnel,Three Lakes
Array 9,9/2/2024,Anolis sagrei,1,funnel,Three Lakes
Array 11,9/2/2024,Anaxyrus terrestris,1,funnel,Three Lakes
Array 11,9/2/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 5,9/2/2024,Scincella lateralis,1,funnel,Three Lakes
Array 1,9/2/2024,Aspidoscelis sexlineata,1,funnel,Three Lakes
Array 3,9/2/2024,Aspidoscelis sexlineata,1,funnel,Three Lakes
Array 3,9/2/2024,Thamnophis sirtalis,1,funnel,Three Lakes
Array 4,9/2/2024,Aspidoscelis sexlineata,1,funnel,Three Lakes
Array 4,9/2/2024,Masticophis flagellum,1,funnel,Three Lakes
Array 7,9/3/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 7,9/3/2024,Aspidoscelis sexlineata,1,funnel,Three Lakes
Array 7,9/3/2024,Gastrophryne carolinensis,2,funnel,Three Lakes
Array 8,9/3/2024,Eleutherodactylus planirostris,8,funnel,Three Lakes
Array 8,9/3/2024,Dryophytes femoralis,3,funnel,Three Lakes
Array 8,9/3/2024,Dryophytes femoralis,2,box,Three Lakes
Array 8,9/3/2024,Gastrophryne carolinensis,3,funnel,Three Lakes
Array 8,9/3/2024,Anaxyrus terrestris,1,funnel,Three Lakes
Array 8,9/3/2024,Lithobates sphenocephalus,1,funnel,Three Lakes
Array 8,9/3/2024,Lithobates grylio,1,box,Three Lakes
Array 8,9/3/2024,Didelphis virginiana,1,box,Three Lakes
Array 9,9/3/2024,Dryophytes squirellus,7,funnel,Three Lakes
Array 9,9/3/2024,Dryophytes femoralis,4,funnel,Three Lakes
Array 9,9/3/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 9,9/3/2024,Gastrophryne carolinensis,4,funnel,Three Lakes
Array 9,9/3/2024,Anolis sagrei,1,funnel,Three Lakes
Array 9,9/3/2024,Aspidoscelis sexlineata,1,funnel,Three Lakes
Array 9,9/3/2024,Dryophytes femoralis,7,box,Three Lakes
Array 9,9/3/2024,Dryophytes squirellus,2,box,Three Lakes
Array 9,9/3/2024,Gastrophryne carolinensis,1,box,Three Lakes
Array 9,9/3/2024,Anaxyrus quercicus,1,box,Three Lakes
Array 10,9/3/2024,Dryophytes squirellus,6,funnel,Three Lakes
Array 10,9/3/2024,Dryophytes femoralis,1,funnel,Three Lakes
Array 10,9/3/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 10,9/3/2024,Gastrophryne carolinensis,1,funnel,Three Lakes
Array 10,9/3/2024,Acris gryllus,1,funnel,Three Lakes
Array 10,9/3/2024,Anaxyrus quercicus,1,funnel,Three Lakes
Array 11,9/3/2024,Dryophytes squirellus,25,funnel,Three Lakes
Array 11,9/3/2024,Gastrophryne carolinensis,8,funnel,Three Lakes
Array 11,9/3/2024,Anaxyrus quercicus,3,funnel,Three Lakes
Array 11,9/3/2024,Dryophytes femoralis,1,funnel,Three Lakes
Array 11,9/3/2024,Dryophytes cinereus,1,funnel,Three Lakes
Array 11,9/3/2024,Pseudacris ocularis,1,funnel,Three Lakes
Array 6,9/3/2024,Lithobates sphenocephalus,1,funnel,Three Lakes
Array 5,9/3/2024,Dryophytes squirellus,1,funnel,Three Lakes
Array 5,9/3/2024,Pseudacris ocularis,2,funnel,Three Lakes
Array 5,9/3/2024,Thamnophis sirtalis,1,box,Three Lakes
Array 2,9/3/2024,Lithobates sphenocephalus,2,box,Three Lakes
Array 2,9/3/2024,Dryophytes squirellus,2,box,Three Lakes
Array 1,9/3/2024,Coluber constrictor,1,funnel,Three Lakes
Array 1,9/3/2024,Gastrophryne carolinensis,1,funnel,Three Lakes
Array 3,9/3/2024,Plestiodon inexpectatus,1,funnel,Three Lakes
Array 4,9/3/2024,Anaxyrus quercicus,5,funnel,Three Lakes
Array 4,9/3/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 4,9/3/2024,Lithobates sphenocephalus,1,funnel,Three Lakes
Array 4,9/3/2024,Dryophytes femoralis,1,funnel,Three Lakes
Array 4,9/3/2024,Pseudacris ocularis,1,funnel,Three Lakes
Array 7,9/4/2024,Anaxyrus quercicus,2,funnel,Three Lakes
Array 7,9/4/2024,Gastrophryne carolinensis,2,funnel,Three Lakes
Array 7,9/4/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 8,9/4/2024,Anaxyrus terrestris,5,box,Three Lakes
Array 8,9/4/2024,Lithobates sphenocephalus,1,box,Three Lakes
Array 8,9/4/2024,Dryophytes femoralis,1,box,Three Lakes
Array 8,9/4/2024,Eleutherodactylus planirostris,5,funnel,Three Lakes
Array 8,9/4/2024,Anaxyrus terrestris,2,funnel,Three Lakes
Array 8,9/4/2024,Gastrophryne carolinensis,1,funnel,Three Lakes
Array 9,9/4/2024,Aspidoscelis sexlineata,2,funnel,Three Lakes
Array 9,9/4/2024,Anolis sagrei,1,funnel,Three Lakes
Array 9,9/4/2024,Dryophytes squirellus,1,box,Three Lakes
Array 9,9/4/2024,Dryophytes femoralis,2,box,Three Lakes
Array 9,9/4/2024,Anaxyrus terrestris,1,funnel,Three Lakes
Array 10,9/4/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 10,9/4/2024,Seminatrix pygaea,1,funnel,Three Lakes
Array 11,9/4/2024,Anaxyrus quercicus,6,funnel,Three Lakes
Array 11,9/4/2024,Dryophytes squirellus,4,funnel,Three Lakes
Array 11,9/4/2024,Gastrophryne carolinensis,2,funnel,Three Lakes
Array 11,9/4/2024,Pseudacris ocularis,2,funnel,Three Lakes
Array 11,9/4/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 5,9/4/2024,Gastrophryne carolinensis,1,funnel,Three Lakes
Array 5,9/4/2024,Plestiodon inexpectatus,1,funnel,Three Lakes
Array 5,9/4/2024,Thamnophis sirtalis,1,box,Three Lakes
Array 2,9/4/2024,Gastrophryne carolinensis,1,funnel,Three Lakes
Array 2,9/4/2024,Lithobates sphenocephalus,1,funnel,Three Lakes
